phase,layer_id,total_selections,top1_expert,top1_probability,top4_coverage,top8_coverage,top12_coverage,top16_coverage,top32_coverage,top12_experts
decode,27,18,197,0.166666666666667,0.555555555555556,0.888888888888889,1,1,1,197;221;2;105;210;234;72;184;224;232;0;1
decode,28,18,207,0.166666666666667,0.5,0.777777777777778,1,1,1,207;56;88;139;217;36;46;85;157;192;218;226
decode,29,18,140,0.166666666666667,0.555555555555556,0.888888888888889,1,1,1,140;185;107;145;161;192;2;178;189;249;0;1
decode,30,18,82,0.166666666666667,0.611111111111111,0.888888888888889,1,1,1,82;246;252;146;191;37;107;110;117;119;0;1
decode,31,18,65,0.166666666666667,0.666666666666667,0.944444444444444,1,1,1,65;78;91;117;174;51;125;203;242;0;1;2
decode,32,18,87,0.166666666666667,0.666666666666667,0.944444444444444,1,1,1,87;94;143;193;165;62;186;234;244;0;1;2
decode,33,18,4,0.166666666666667,0.555555555555556,0.888888888888889,1,1,1,4;58;41;79;116;253;15;74;110;136;0;1
decode,34,18,42,0.166666666666667,0.611111111111111,0.888888888888889,1,1,1,42;54;226;126;237;28;35;80;124;193;0;1
decode,35,18,174,0.166666666666667,0.5,0.777777777777778,1,1,1,174;80;100;103;223;38;53;71;111;112;214;228
decode,36,18,28,0.166666666666667,0.611111111111111,0.944444444444445,1,1,1,28;223;225;39;137;222;19;124;173;0;1;2
decode,37,18,67,0.166666666666667,0.555555555555556,0.833333333333333,1,1,1,67;160;40;66;194;12;74;158;181;222;231;0
decode,38,18,10,0.166666666666667,0.611111111111111,0.888888888888889,1,1,1,10;95;240;68;74;26;98;106;156;234;0;1
decode,39,18,29,0.111111111111111,0.444444444444444,0.722222222222222,0.944444444444445,1,1,29;113;114;131;156;23;49;142;180;210;224;243
decode,40,18,62,0.166666666666667,0.611111111111111,0.888888888888889,1,1,1,62;74;223;128;195;4;34;122;157;216;0;1
decode,41,18,42,0.166666666666667,0.666666666666667,1,1,1,1,42;66;97;213;134;169;78;158;0;1;2;3
decode,42,18,89,0.166666666666667,0.555555555555556,0.833333333333333,1,1,1,89;217;126;129;176;26;91;114;136;183;218;0
